X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397604.3869	5315620.2721	8.89	-0.07	397604.572	5315620.3321	19.79	-0.18	397604.795	5315620.4045	25.25	-0.12	2	103	0	98
397603.932	5315620.0403	10.12	-0.02	397604.113	5315620.113	18.57	-0.17	397604.331	5315620.2006	24.56	-0.09	2	103	0	98
397603.4758	5315619.857	13.2	-0.02	397603.6567	5315619.9297	22.5	-0.17	397603.8748	5315620.0173	26.49	-0.1	2	103	0	98
397603.018	5315619.7022	12.25	-0.02	397603.2016	5315619.7675	21.11	-0.16	397603.4228	5315619.8462	26.65	-0.1	2	103	0	98
397602.3124	5315619.5122	10.58	-0.01	397602.4986	5315619.57	18.64	-0.15	397602.723	5315619.6397	24.45	-0.08	2	103	0	98
397601.6087	5315619.2824	13.59	-0.02	397601.794	5315619.3431	22.46	-0.18	397602.0173	5315619.4163	27.06	-0.08	2	103	0	98
397601.1923	5315619.1273	11.87	-0.02	397601.3766	5315619.191	21.71	-0.15	397601.5987	5315619.2677	26.99	-0.1	2	103	0	98
397600.7755	5315618.9834	10.9	0.0	397600.9598	5315619.0471	19.74	-0.15	397601.182	5315619.1238	25.54	-0.08	2	103	0	98
397600.3588	5315618.8395	14.08	-0.03	397600.5431	5315618.9031	24.21	-0.19	397600.7652	5315618.9798	28.39	-0.11	2	103	0	98
397599.7179	5315617.8225	11.23	-0.03	397599.526	5315617.7879	20.12	-0.17	397599.2947	5315617.7463	24.92	-0.1	2	104	0	99
397600.8966	5315618.0423	10.41	-0.02	397600.7051	5315618.0056	19.28	-0.16	397600.4743	5315617.9615	25.04	-0.11	2	104	0	99
397601.5289	5315618.178	12.91	-0.01	397601.3378	5315618.1392	22.15	-0.17	397601.1075	5315618.0925	26.28	-0.09	2	104	0	99
397602.1582	5315618.2864	12.97	-0.02	397601.9662	5315618.253	21.51	-0.16	397601.7348	5315618.2127	25.77	-0.1	2	104	0	99
397602.5793	5315618.3283	12.97	-0.02	397602.3864	5315618.3003	21.24	-0.18	397602.1538	5315618.2665	25.73	-0.11	2	104	0	99
397603.0027	5315618.3899	13.68	-0.02	397602.8097	5315618.3618	22.14	-0.18	397602.5771	5315618.328	25.85	-0.08	2	104	0	99
397603.4282	5315618.4706	12.06	-0.02	397603.2361	5315618.4373	19.5	-0.16	397603.0047	5315618.3972	24.15	-0.08	2	104	0	99
397604.0786	5315618.6207	12.15	-0.02	397603.8875	5315618.5821	19.71	-0.16	397603.6571	5315618.5356	24.75	-0.1	2	104	0	99
397604.7273	5315618.7576	11.85	-0.02	397604.5365	5315618.7174	19.34	-0.15	397604.3066	5315618.6689	24.32	-0.07	2	104	0	99
